実質季節調整系列(寄与度),,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,"(単位:％,％pt)",,,,
"Real, Seasonally Adjusted Series (Contributions to Quarter-to-Quarter Percent Change in GDP)",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,"(%,%pt)",,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,純受取,受取,支払,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,Net,Receipt,Payment,,,,,,,,,,,,,
10-12.,-0.1 ,0.3 ,0.3 ,0.2 ,0.1 ,-0.0 ,-0.4 ,0.1 ,-0.1 ,-0.0 ,-0.1 ,-0.5 ,0.4 ,,-0.1 ,-0.1 ,0.0 ,0.2 ,-0.1 ,-0.1 ,,0.0 ,-0.0 ,0.0 ,,-0.0 ,,0.3 ,,,,
2013/ 1- 3.,1.2 ,0.9 ,0.9 ,0.9 ,0.0 ,-0.2 ,0.2 ,-0.0 ,0.0 ,-0.0 ,0.4 ,0.4 ,-0.1 ,,-0.3 ,0.9 ,0.2 ,0.3 ,-0.1 ,1.2 ,,0.9 ,0.9 ,-0.0 ,,-0.2 ,,1.1 ,,,,
4- 6.,1.1 ,0.4 ,0.4 ,0.3 ,0.0 ,0.6 ,-0.4 ,0.2 ,0.2 ,0.0 ,-0.0 ,0.5 ,-0.5 ,,0.1 ,1.1 ,0.7 ,0.9 ,-0.1 ,1.8 ,,1.1 ,0.6 ,0.4 ,,0.9 ,,1.5 ,,,,
7- 9.,1.0 ,0.3 ,0.3 ,0.2 ,0.2 ,0.2 ,0.3 ,0.0 ,0.3 ,-0.0 ,-0.3 ,-0.0 ,-0.3 ,,-0.0 ,0.9 ,-0.4 ,-0.2 ,-0.1 ,0.6 ,,1.3 ,1.0 ,0.3 ,,0.7 ,,0.7 ,,,,
10-12.,-0.1 ,-0.1 ,-0.1 ,-0.2 ,0.1 ,0.2 ,0.1 ,0.0 ,0.1 ,0.0 ,-0.5 ,-0.1 ,-0.5 ,,-0.2 ,-0.3 ,0.0 ,-0.0 ,0.1 ,-0.3 ,,0.4 ,0.3 ,0.1 ,,0.4 ,,-0.3 ,,,,
2014/ 1- 3.,1.0 ,1.2 ,1.2 ,1.2 ,0.0 ,0.6 ,-0.5 ,-0.0 ,-0.1 ,0.0 ,-0.2 ,1.0 ,-1.2 ,,-0.4 ,0.6 ,-0.0 ,0.2 ,-0.2 ,0.6 ,,1.2 ,1.3 ,-0.1 ,,0.5 ,,1.5 ,,,,
4- 6.,-1.4 ,-2.6 ,-2.6 ,-2.6 ,-0.3 ,-0.2 ,0.9 ,0.0 ,-0.2 ,0.0 ,1.0 ,0.2 ,0.8 ,,0.3 ,-1.1 ,-0.0 ,0.0 ,-0.0 ,-1.1 ,,-2.4 ,-2.2 ,-0.2 ,,-0.7 ,,-2.3 ,,,,
7- 9.,0.2 ,0.4 ,0.4 ,0.4 ,-0.2 ,0.3 ,-0.5 ,0.1 ,0.2 ,0.0 ,-0.0 ,0.2 ,-0.3 ,,-0.0 ,0.2 ,0.3 ,0.4 ,-0.0 ,0.5 ,,0.2 ,-0.0 ,0.3 ,,0.3 ,,0.7 ,,,,
10-12.,0.6 ,0.1 ,0.1 ,0.1 ,-0.0 ,0.1 ,-0.1 ,0.1 ,0.0 ,-0.0 ,0.4 ,0.5 ,-0.1 ,,0.2 ,0.8 ,0.5 ,0.6 ,-0.1 ,1.3 ,,0.2 ,0.1 ,0.0 ,,0.1 ,,0.7 ,,,,
2015/ 1- 3.,1.6 ,0.4 ,0.3 ,0.3 ,0.1 ,0.7 ,0.2 ,0.1 ,-0.2 ,0.0 ,0.2 ,0.3 ,-0.1 ,,0.6 ,2.2 ,-0.4 ,-0.4 ,-0.0 ,1.8 ,,1.4 ,1.4 ,-0.0 ,,0.7 ,,1.4 ,,,,
4- 6.,0.1 ,0.0 ,-0.0 ,-0.1 ,0.1 ,0.0 ,0.4 ,-0.0 ,-0.1 ,-0.0 ,-0.2 ,-0.6 ,0.4 ,,0.3 ,0.4 ,0.2 ,0.2 ,-0.0 ,0.6 ,,0.3 ,0.5 ,-0.2 ,,-0.0 ,,-0.2 ,,,,
7- 9.,0.1 ,0.2 ,0.2 ,0.1 ,0.0 ,0.1 ,-0.2 ,0.1 ,-0.0 ,-0.0 ,-0.1 ,0.4 ,-0.5 ,,0.2 ,0.3 ,-0.1 ,0.0 ,-0.1 ,0.2 ,,0.2 ,0.1 ,0.1 ,,0.1 ,,0.3 ,,,,
10-12.,-0.2 ,-0.3 ,-0.4 ,-0.4 ,-0.0 ,0.0 ,-0.0 ,0.1 ,0.1 ,0.0 ,-0.1 ,-0.2 ,0.1 ,,0.2 ,-0.0 ,0.2 ,0.2 ,-0.0 ,0.2 ,,-0.1 ,-0.3 ,0.2 ,,0.1 ,,-0.2 ,,,,
2016/ 1- 3.,0.8 ,0.1 ,0.0 ,0.0 ,-0.0 ,-0.1 ,0.1 ,0.3 ,0.2 ,0.0 ,0.4 ,0.1 ,0.2 ,,0.6 ,1.5 ,-0.3 ,-0.3 ,0.0 ,1.1 ,,0.5 ,0.0 ,0.4 ,,0.0 ,,0.7 ,,,,
4- 6.,-0.3 ,-0.4 ,-0.4 ,-0.4 ,0.1 ,-0.0 ,0.3 ,-0.2 ,-0.2 ,-0.0 ,0.1 ,-0.1 ,0.2 ,,0.0 ,-0.3 ,-0.2 ,-0.1 ,-0.1 ,-0.5 ,,-0.4 ,-0.0 ,-0.4 ,,-0.1 ,,-0.6 ,,,,
7- 9.,0.2 ,0.2 ,0.2 ,0.2 ,0.1 ,0.1 ,-0.5 ,0.1 ,0.0 ,-0.0 ,0.3 ,0.4 ,-0.1 ,,-0.0 ,0.2 ,-0.1 ,-0.1 ,-0.1 ,0.1 ,,-0.1 ,-0.1 ,0.1 ,,0.1 ,,0.7 ,,,,
10-12.,0.0 ,0.1 ,0.1 ,0.0 ,0.0 ,0.1 ,-0.4 ,0.0 ,0.0 ,-0.0 ,0.1 ,0.4 ,-0.2 ,,-0.2 ,-0.2 ,0.0 ,0.0 ,0.0 ,-0.2 ,,-0.1 ,-0.1 ,0.0 ,,0.1 ,,0.4 ,,,,
2017/ 1- 3.,0.7 ,0.2 ,0.2 ,0.1 ,-0.1 ,0.1 ,0.2 ,0.1 ,0.0 ,0.0 ,0.2 ,0.4 ,-0.2 ,,-0.4 ,0.3 ,0.4 ,0.5 ,-0.1 ,0.7 ,,0.5 ,0.4 ,0.1 ,,0.1 ,,0.5 ,,,,
4- 6.,0.3 ,0.3 ,0.3 ,0.3 ,0.0 ,0.1 ,-0.0 ,-0.1 ,0.1 ,0.0 ,-0.2 ,0.0 ,-0.2 ,,-0.1 ,0.3 ,-0.2 ,-0.2 ,-0.0 ,0.0 ,,0.5 ,0.5 ,0.0 ,,0.2 ,,0.3 ,,,,
7- 9.,1.2 ,-0.2 ,-0.2 ,-0.2 ,-0.0 ,0.3 ,0.6 ,0.1 ,-0.1 ,0.0 ,0.5 ,0.4 ,0.1 ,,0.2 ,1.3 ,0.2 ,0.2 ,0.0 ,1.5 ,,0.6 ,0.6 ,0.0 ,,0.1 ,,0.6 ,,,,
10-12.,0.2 ,0.2 ,0.2 ,0.2 ,-0.1 ,0.1 ,0.1 ,-0.0 ,0.0 ,0.0 ,-0.2 ,0.2 ,-0.4 ,,-0.3 ,-0.1 ,-0.1 ,0.0 ,-0.1 ,-0.2 ,,0.4 ,0.4 ,0.0 ,,0.1 ,,0.0 ,,,,
2018/ 1- 3.,-0.2 ,-0.2 ,-0.2 ,-0.2 ,-0.1 ,0.1 ,-0.4 ,0.1 ,0.0 ,0.0 ,0.2 ,0.3 ,-0.1 ,,-0.1 ,-0.3 ,-0.1 ,0.1 ,-0.2 ,-0.4 ,,-0.4 ,-0.5 ,0.2 ,,0.0 ,,0.2 ,,,,
4- 6.,0.6 ,0.0 ,0.0 ,0.0 ,-0.1 ,0.5 ,0.1 ,-0.0 ,0.1 ,0.0 ,0.1 ,0.1 ,-0.0 ,,-0.3 ,0.3 ,0.3 ,0.2 ,0.0 ,0.5 ,,0.5 ,0.5 ,0.1 ,,0.4 ,,0.6 ,,,,
7- 9.,-0.5 ,0.1 ,0.1 ,0.1 ,0.0 ,-0.5 ,0.1 ,-0.0 ,-0.0 ,0.0 ,-0.1 ,-0.2 ,0.1 ,,-0.2 ,-0.7 ,-0.0 ,-0.0 ,-0.0 ,-0.7 ,,-0.3 ,-0.3 ,-0.0 ,,-0.5 ,,-0.5 ,,,,
10-12.,0.1 ,0.0 ,0.0 ,-0.0 ,0.0 ,0.4 ,0.3 ,0.2 ,-0.1 ,-0.0 ,-0.8 ,0.0 ,-0.8 ,,-0.1 ,0.0 ,0.1 ,0.2 ,-0.1 ,0.1 ,,0.9 ,0.8 ,0.1 ,,0.4 ,,-0.2 ,,,,
2019/ 1- 3.,0.1 ,-0.2 ,-0.3 ,-0.3 ,0.1 ,0.1 ,-0.5 ,0.1 ,0.1 ,-0.0 ,0.4 ,-0.2 ,0.6 ,,0.5 ,0.6 ,-0.1 ,-0.1 ,0.1 ,0.5 ,,-0.3 ,-0.5 ,0.2 ,,0.3 ,,0.6 ,,,,
4- 6.,0.4 ,-0.0 ,-0.1 ,-0.1 ,0.0 ,-0.0 ,0.3 ,0.2 ,0.1 ,-0.0 ,-0.2 ,0.1 ,-0.2 ,,-0.3 ,0.1 ,0.1 ,0.1 ,-0.1 ,0.2 ,,0.6 ,0.3 ,0.3 ,,0.1 ,,0.2 ,,,,
7- 9.,0.1 ,0.4 ,0.4 ,0.3 ,0.0 ,0.4 ,-0.5 ,0.1 ,-0.0 ,-0.0 ,-0.3 ,0.1 ,-0.4 ,,0.1 ,0.2 ,0.0 ,0.1 ,-0.1 ,0.2 ,,0.3 ,0.3 ,0.1 ,,0.4 ,,0.6 ,,,,
10-12.,-2.9 ,-1.9 ,-2.0 ,-2.0 ,-0.1 ,-1.2 ,0.2 ,0.1 ,-0.0 ,0.0 ,0.0 ,-0.3 ,0.4 ,,0.2 ,-2.7 ,-0.2 ,-0.3 ,0.0 ,-2.8 ,,-2.9 ,-3.0 ,0.1 ,,-1.3 ,,-3.0 ,,,,
2020/ 1- 3.,0.3 ,0.1 ,0.0 ,-0.0 ,-0.2 ,0.6 ,-0.2 ,0.1 ,-0.0 ,0.0 ,0.0 ,-0.6 ,0.7 ,,0.1 ,0.4 ,0.1 ,-0.0 ,0.2 ,0.5 ,,0.3 ,0.3 ,0.0 ,,0.3 ,,0.5 ,,,,
4- 6.,-7.2 ,-4.0 ,-4.1 ,-4.1 ,0.0 ,-1.2 ,0.4 ,0.0 ,0.4 ,0.0 ,-2.8 ,-2.9 ,0.1 ,,0.8 ,-6.4 ,-0.7 ,-0.8 ,0.1 ,-6.8 ,,-4.4 ,-4.8 ,0.4 ,,-0.8 ,,-7.6 ,,,,
7- 9.,5.0 ,2.8 ,2.7 ,2.7 ,-0.2 ,0.2 ,-0.8 ,0.4 ,-0.1 ,0.0 ,2.8 ,1.4 ,1.3 ,,-0.0 ,5.0 ,0.1 ,0.1 ,0.0 ,5.0 ,,2.3 ,1.9 ,0.3 ,,-0.1 ,,5.8 ,,,,
10-12.,1.7 ,1.0 ,1.0 ,0.9 ,0.0 ,0.3 ,-0.2 ,0.2 ,0.0 ,-0.0 ,0.4 ,1.3 ,-0.9 ,,0.1 ,1.8 ,0.2 ,0.1 ,0.2 ,1.9 ,,1.3 ,1.1 ,0.2 ,,0.4 ,,1.9 ,,,,
2021/ 1- 3.,1.2 ,-0.4 ,-0.3 ,-0.4 ,0.1 ,0.4 ,0.7 ,-0.0 ,-0.1 ,0.0 ,0.4 ,0.7 ,-0.3 ,,-0.7 ,0.4 ,0.4 ,0.6 ,-0.2 ,0.8 ,,0.8 ,0.9 ,-0.1 ,,0.4 ,,0.4 ,,,,
4- 6.,0.6 ,0.3 ,0.4 ,0.4 ,0.0 ,0.2 ,-0.0 ,0.5 ,-0.1 ,-0.0 ,-0.3 ,0.4 ,-0.7 ,,-0.5 ,0.1 ,0.9 ,1.0 ,-0.1 ,1.0 ,,1.0 ,0.5 ,0.4 ,,0.1 ,,0.6 ,,,,
7- 9.,-0.2 ,-0.5 ,-0.5 ,-0.5 ,-0.0 ,-0.2 ,0.3 ,0.1 ,-0.1 ,-0.0 ,0.2 ,-0.1 ,0.3 ,,-0.5 ,-0.7 ,-0.1 ,-0.1 ,-0.0 ,-0.8 ,,-0.4 ,-0.4 ,0.0 ,,-0.3 ,,-0.5 ,,,,
10-12.,1.2 ,1.5 ,1.5 ,1.5 ,0.0 ,0.0 ,0.0 ,-0.1 ,-0.1 ,0.0 ,-0.1 ,-0.1 ,-0.1 ,,-0.4 ,0.7 ,0.2 ,0.4 ,-0.2 ,0.9 ,,1.3 ,1.6 ,-0.3 ,,-0.1 ,,1.2 ,,,,
2022/ 1- 3.,-0.4 ,-0.5 ,-0.5 ,-0.5 ,0.0 ,0.1 ,0.1 ,0.1 ,-0.3 ,0.0 ,-0.1 ,0.6 ,-0.7 ,,-0.5 ,-1.0 ,0.6 ,0.6 ,-0.0 ,-0.3 ,,-0.4 ,-0.2 ,-0.2 ,,-0.1 ,,-0.6 ,,,,
4- 6.,1.0 ,0.8 ,0.8 ,0.8 ,-0.0 ,0.4 ,-0.2 ,0.2 ,-0.1 ,0.0 ,-0.2 ,0.1 ,-0.3 ,,-0.6 ,0.3 ,-0.2 ,0.0 ,-0.2 ,0.1 ,,1.1 ,1.0 ,0.1 ,,0.3 ,,1.2 ,,,,
7- 9.,-0.3 ,0.0 ,0.0 ,-0.0 ,0.1 ,0.2 ,0.1 ,-0.1 ,0.0 ,-0.1 ,-0.6 ,0.3 ,-0.9 ,,-0.5 ,-0.8 ,0.4 ,0.5 ,-0.1 ,-0.4 ,,0.3 ,0.4 ,-0.1 ,,0.3 ,,-0.3 ,,,,
10-12.,0.5 ,0.2 ,0.1 ,0.1 ,-0.0 ,-0.0 ,-0.1 ,0.2 ,0.1 ,0.1 ,0.2 ,0.2 ,0.0 ,,0.3 ,0.8 ,0.8 ,1.1 ,-0.3 ,1.6 ,,0.3 ,0.0 ,0.3 ,,0.0 ,,0.6 ,,,,
2023/ 1- 3.,0.9 ,0.3 ,0.3 ,0.2 ,0.0 ,0.3 ,-0.2 ,0.0 ,0.2 ,-0.0 ,0.2 ,-0.2 ,0.4 ,,0.3 ,1.2 ,-1.2 ,-0.8 ,-0.4 ,-0.1 ,,0.7 ,0.5 ,0.2 ,,0.6 ,,1.1 ,,,,
4- 6.,0.1 ,-0.5 ,-0.5 ,-0.5 ,0.1 ,-0.2 ,0.0 ,-0.3 ,-0.1 ,-0.1 ,1.1 ,0.3 ,0.8 ,,0.8 ,1.0 ,0.5 ,0.7 ,-0.2 ,1.4 ,,-1.0 ,-0.6 ,-0.5 ,,-0.2 ,,0.1 ,,,,
7- 9.,-1.3 ,-0.4 ,-0.4 ,-0.4 ,-0.1 ,-0.0 ,-0.7 ,0.0 ,-0.1 ,-0.0 ,0.0 ,0.3 ,-0.3 ,,0.3 ,-1.0 ,-0.2 ,0.0 ,-0.2 ,-1.1 ,,-1.2 ,-1.2 ,-0.1 ,,-0.2 ,,-0.5 ,,,,
10-12.,0.5 ,-0.0 ,-0.0 ,-0.0 ,-0.0 ,0.3 ,0.3 ,0.0 ,-0.0 ,0.0 ,-0.1 ,0.5 ,-0.7 ,,-0.1 ,0.3 ,0.3 ,0.4 ,-0.1 ,0.6 ,,0.6 ,0.6 ,-0.0 ,,0.3 ,,0.1 ,,,,
2024/ 1- 3.,-0.1 ,-0.1 ,-0.1 ,-0.1 ,-0.1 ,-0.1 ,0.0 ,0.1 ,-0.0 ,-0.0 ,0.2 ,-0.7 ,0.8 ,,-0.1 ,-0.3 ,-0.3 ,-0.1 ,-0.2 ,-0.5 ,,-0.3 ,-0.3 ,0.0 ,,-0.2 ,,-0.1 ,,,,
4- 6.,-0.1 ,-0.0 ,0.0 ,0.0 ,-0.0 ,0.2 ,-0.2 ,0.4 ,0.0 ,0.0 ,-0.6 ,0.2 ,-0.8 ,,0.4 ,0.3 ,0.6 ,0.6 ,-0.0 ,0.9 ,,0.5 ,-0.0 ,0.5 ,,0.2 ,,0.0 ,,,,
7- 9.,0.8 ,0.3 ,0.3 ,0.3 ,0.1 ,0.2 ,0.4 ,0.0 ,0.1 ,0.0 ,-0.1 ,0.5 ,-0.7 ,,0.0 ,0.9 ,-0.2 ,-0.0 ,-0.2 ,0.7 ,,1.0 ,0.9 ,0.1 ,,0.3 ,,0.5 ,,,,
10-12.,0.4 ,-0.0 ,-0.0 ,-0.0 ,0.0 ,-0.1 ,-0.3 ,0.0 ,-0.0 ,-0.0 ,0.8 ,0.3 ,0.5 ,,0.0 ,0.4 ,-0.2 ,-0.3 ,0.1 ,0.2 ,,-0.4 ,-0.4 ,-0.0 ,,-0.1 ,,0.7 ,,,,
2025/ 1- 3.,0.5 ,0.3 ,0.3 ,0.3 ,-0.0 ,0.2 ,0.7 ,-0.0 ,-0.0 ,0.0 ,-0.6 ,-0.2 ,-0.5 ,,-0.3 ,0.2 ,0.3 ,0.3 ,-0.0 ,0.5 ,,1.1 ,1.2 ,-0.0 ,,0.2 ,,-0.2 ,,,,
4- 6.,0.1 ,0.1 ,0.0 ,0.0 ,0.0 ,0.2 ,-0.3 ,0.1 ,0.0 ,-0.0 ,-0.0 ,0.4 ,-0.4 ,,0.6 ,0.8 ,-0.2 ,-0.3 ,0.1 ,0.6 ,,0.2 ,0.1 ,0.1 ,,0.3 ,,0.4 ,,,,
7- 9.,-0.4 ,0.3 ,0.3 ,0.3 ,-0.3 ,-0.0 ,-0.1 ,0.0 ,-0.1 ,0.0 ,-0.2 ,-0.3 ,0.1 ,,0.1 ,-0.3 ,0.6 ,0.6 ,-0.0 ,0.3 ,,-0.2 ,-0.2 ,-0.0 ,,-0.4 ,,-0.3 ,,,,
10-12.,0.3 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,-0.4 ,0.1 ,-0.0 ,-0.0 ,0.1 ,0.0 ,0.0 ,,0.1 ,0.4 ,-0.5 ,-0.3 ,-0.2 ,-0.2 ,,0.2 ,0.1 ,0.1 ,,0.4 ,,0.7 ,,,,
2026/ 1- 3.,0.5 ,0.2 ,0.2 ,0.2 ,0.0 ,-0.2 ,-0.1 ,0.1 ,0.1 ,-0.0 ,0.3 ,0.4 ,-0.1 ,,-0.2 ,0.3 ,0.1 ,0.2 ,-0.1 ,0.4 ,,0.2 ,0.0 ,0.1 ,,-0.1 ,,0.5 ,,,,
4- 6.,0.4 ,0.0 ,-0.0 ,-0.0 ,-0.0 ,-0.2 ,0.3 ,0.3 ,-0.0 ,-0.5 ,0.5 ,0.1 ,0.4 ,,-0.2 ,0.1 ,-0.5 ,-0.2 ,-0.3 ,-0.4 ,,-0.1 ,0.1 ,-0.2 ,,-0.2 ,,0.6 ,,,,
＊国内総生産(支出側)、国内総所得、国民総所得は前期比,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＊国内総生産(支出側)に対する寄与度、ただし交易利得、海外からの所得は国民総所得に対する寄与度,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＊四捨五入の関係上、各項目の寄与度の合計は必ずしも国内総生産(支出側)、もしくは国民総所得の増加率には一致しない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＊財貨・サービスの輸入は国内総生産(支出側)、海外からの所得支払は国民総所得の控除項目となるので、寄与度は逆符号で表示した。例えば、財貨・サービスの輸入が増加すると、寄与度はマイナスの符号となる。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＊財貨・サービスの純輸出の寄与度は財貨・サービスの輸出の寄与度－財貨・サービスの輸入の寄与度により求めている。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
